Gene_name	cluster_number
BTN3A1	16
BTN3A2	16
BTN3A3	1
BTNL10	16
BTNL2	16
BTNL3	16
BTNL8	16
BTNL9	16
BTRC	7
BUB1	3
BUB3	7
BUD13	26
BUD23	7
BUD31	7
BVES	6
BYSL	7
BZW1	32
BZW2	32
C10orf105	9
C10orf120	9
C10orf143	9
C10orf53	1
C10orf62	9
C10orf67	1
C10orf71	16
C10orf82	9
C10orf88	16
C10orf90	1
C10orf95	30
C10orf99	30
C11orf1	1
C11orf16	1
C11orf21	30
C11orf24	16
C11orf42	9
C11orf45	30
C11orf49	1
C11orf52	9
C11orf53	16
C11orf54	10
C11orf58	16
C11orf65	58
C11orf68	16
C11orf71	9
C11orf80	9
C11orf86	9
C11orf87	16
C11orf88	16
C11orf91	16
C11orf94	9
C11orf95	16
C11orf96	16
C11orf97	9
C11orf98	16
MYG1	7
C12orf29	9
C12orf4	38
C12orf40	16
C12orf42	9
C12orf43	1
C12orf45	16
C12orf49	46
C12orf50	48
C12orf54	30
C12orf56	1
C12orf57	6
C12orf60	9
C12orf65	2
C12orf66	44
C12orf71	9
C12orf73	9
PLEKHG7	30
C12orf75	16
C12orf76	30
C12orf77	30
C13orf42	9
C13orf46	30
C14orf119	16
C14orf132	16
C14orf180	9
C14orf28	16
C14orf39	16
C14orf93	16
C15orf39	16
C15orf40	32
CDIN1	31
C15orf48	9
C15orf56	30
C15orf61	6
C15orf62	9
C15orf65	1
C16orf46	16
C16orf54	9
RUSF1	23
C16orf70	5
C16orf71	9
C16orf72	4
C16orf74	9
C16orf78	1
C16orf82	9
C16orf86	9
C16orf87	1
C16orf89	1
C16orf90	9
C16orf91	16
C16orf92	9
C16orf95	9
C16orf96	1
C16orf97	30
C17orf100	9
C17orf107	9
C17orf113	1
C17orf49	6
C17orf50	9
C17orf58	16
C17orf64	4
C17orf67	16
C17orf75	1
C17orf77	30
C17orf78	9
C17orf80	16
C17orf97	6
C17orf98	1
C17orf99	9
C18orf12	30
C18orf21	16
C18orf25	16
C18orf32	16
C18orf54	16
C18orf63	1
C19orf12	6
C19orf18	9
C19orf25	16
C19orf33	30
C19orf38	16
C19orf44	16
C19orf47	4
C19orf48	30
C19orf53	16
C19orf54	10
C19orf57	9
C19orf67	9
C19orf71	9
C19orf73	30
C19orf81	9
C19orf84	9
C1D	5
C1GALT1	13
C1GALT1C1	13
C1GALT1C1L	13
C1orf100	9
C1orf105	9
C1orf109	1
C1orf112	1
C1orf115	16
C1orf116	16
C1orf122	9
C1orf127	16
C1orf131	1
C1orf141	9
C1orf146	1
C1orf158	4
C1orf159	16
C1orf162	9
C1orf167	9
C1orf174	16
C1orf185	9
C1orf189	9
C1orf194	1
C1orf195	30
C1orf198	1
C1orf21	16
C1orf210	16
C1orf216	16
C1orf226	16
C1orf229	30
C1orf232	16
C1orf35	42
C1orf43	6
C1orf50	10
C1orf52	16
C1orf53	1
C1orf54	9
C1orf56	9
C1orf61	30
C1orf68	9
C1orf74	1
C1orf87	1
C1orf94	16
C1QA	6
C1QB	18
C1QBP	10
C1QC	18
C1QL1	1
C1QL2	1
C1QL3	1
C1QL4	1
C1QTNF1	6
C1QTNF12	1
C1QTNF2	18
C1QTNF3-AMACR	6
C1QTNF4	1
C1QTNF5	4
C1QTNF6	1
C1QTNF7	18
C1QTNF8	1
C1QTNF9	18
C1QTNF9B	18
C1R	22
C1RL	22
C1S	22
C2	13
C20orf141	9
C20orf144	9
C20orf173	9
C20orf194	58
C20orf202	30
C20orf203	30
C20orf204	9
C20orf27	6
C20orf85	1
C20orf96	1
C21orf58	16
C21orf62	16
C21orf91	16
C22orf15	9
C22orf23	4
C22orf24	30
C22orf31	30
C22orf34	30
C22orf39	6
C22orf42	30
C2CD2	1
C2CD2L	1
C2CD3	13
C2CD4A	16
C2CD4B	16
C2CD4C	16
C2CD4D	1
C2CD5	33
C2CD6	9
C2orf15	30
C2orf16	4
C2orf27A	30
C2orf42	6
C2orf49	16
C2orf50	1
C2orf66	9
C2orf68	1
C2orf69	44
C2orf72	16
C2orf73	1
C2orf74	9
C2orf76	40
C2orf78	9
C2orf80	16
C2orf81	1
C2orf83	9
C2orf88	9
C2orf92	30
C3	10
C3AR1	4
C3orf14	1
C3orf18	16
C3orf20	1
C3orf22	9
C3orf33	6
C3orf35	30
C3orf38	6
C3orf49	16
C3orf52	9
C3orf56	30
C3orf62	9
CFAP20DC	56
C3orf70	16
C3orf80	16
C3orf84	1
C3orf85	30
C3orf86	30
C4A	10
C4B	10
C4B_2	10
C4BPA	10
C4BPB	10
C4orf17	1
C4orf19	9
C4orf3	9
C4orf33	4
C4orf36	9
C4orf45	1
C4orf46	9
C4orf47	58
C4orf48	16
C4orf50	9
C4orf51	9
C4orf54	16
C5	10
C5AR1	4
C5AR2	4
C5orf15	6
C5orf22	6
C5orf24	16
C5orf34	1
C5orf38	30
C5orf46	9
C5orf47	9
C5orf49	1
C5orf51	1
C5orf52	9
C5orf58	30
C5orf60	30
C5orf63	30
C6	19
C6orf118	1
C6orf120	1
C6orf132	9
C6orf136	4
C6orf141	9
C6orf15	9
C6orf163	9
C6orf201	9
C6orf226	9
C6orf47	16
C6orf52	16
C6orf58	1
C6orf62	16
C6orf89	9
C7	4
C7orf25	32
C7orf26	4
C7orf31	1
C7orf33	30
C7orf50	44
C7orf57	1
C7orf61	9
C7orf65	30
C7orf66	30
C7orf77	30
C8A	10
C8B	4
C8G	16
C8orf33	16
C8orf34	1
C8orf37	58
C8orf48	1
C8orf49	30
C8orf58	16
C8orf74	1
C8orf76	1
C8orf82	17
C8orf86	30
C8orf88	16
C8orf89	9
C9	6
C9orf116	6
C9orf129	16
C9orf131	9
C9orf135	1
C9orf139	30
C9orf147	30
C9orf152	16
C9orf153	9
C9orf16	16
C9orf163	30
C9orf24	9
C9orf40	9
C9orf43	1
C9orf47	30
C9orf50	9
C9orf57	30
C9orf62	30
C9orf64	23
C9orf72	1
C9orf78	32
C9orf85	12
C9orf92	30
CA1	14
CA10	14
CA11	14
CA12	14
CA13	14
CA14	14
CA2	14
CA3	14
CA4	14
CA5A	55
CA5B	14
CA6	14
CA7	14
CA8	14
CA9	14
CAAP1	1
CAB39	2
CAB39L	2
CABCOCO1	1
CABIN1	46
CABLES1	33
CABLES2	33
CABP1	7
CABP2	7
CABP4	7
CABP5	7
CABP7	7
CABS1	9
CABYR	1
CACFD1	4
CACHD1	4
CACNA1A	2
CACNA1B	2
CACNA1C	2
CACNA1D	2
CACNA1E	2
CACNA1F	2
CACNA1G	2
CACNA1H	2
CACNA1I	2
CACNA1S	2
CACNA2D1	32
CACNA2D2	32
CACNA2D3	32
CACNA2D4	32
CACNB1	10
CACNB2	10
CACNB3	10
CACNB4	10
CACNG1	16
CACNG2	6
CACNG3	6
CACNG4	6
CACNG5	6
CACNG6	16
CACNG7	16
CACNG8	6
CACTIN	41
CACUL1	32
CACYBP	55
CAD	7
CADM1	4
CADM2	4
CADM3	4
CADM4	4
CADPS	4
CADPS2	4
CAGE1	9
CALB1	55
CALB2	41
CALCA	16
CALCB	16
CALCOCO1	1
CALCOCO2	1
CALCR	10
CALCRL	10
CALD1	1
CALHM1	16
CALHM2	16
CALHM3	16
CALHM4	16
CALHM5	16
CALHM6	16
CALM1	7
CALM2	7
CALM3	7
CALML3	7
CALML4	7
CALML5	7
CALML6	7
CALN1	7
CALR	3
CALR3	3
CALU	32
CALY	16
CAMK1	7
CAMK1D	7
CAMK1G	7
CAMK2A	7
CAMK2B	7
CAMK2D	7
CAMK2G	7
CAMK2N1	16
CAMK2N2	16
CAMK4	7
CAMKK1	7
CAMKK2	7
CAMKMT	55
CAMKV	7
CAMLG	16
CAMP	16
CAMSAP1	17
CAMSAP2	17
CAMSAP3	17
CAMTA1	55
CAMTA2	55
CAND1	29
CAND2	29
CANT1	17
CANX	3
CAP1	3
CAP2	3
CAPG	23
CAPN1	15
CAPN10	41
CAPN11	41
CAPN12	41
CAPN13	41
CAPN14	41
CAPN15	41
CAPN2	15
CAPN3	15
CAPN5	41
CAPN6	41
CAPN7	41
CAPN8	15
CAPN9	41
CAPNS1	37
CAPNS2	37
CAPRIN1	4
CAPRIN2	4
CAPS	8
CAPS2	56
CAPSL	26
CAPZA1	57
CAPZA2	57
CAPZA3	57
CAPZB	57
CARD10	1
CARD11	4
CARD14	4
CARD16	16
CARD17	16
CARD18	9
CARD19	16
CARD6	16
CARD8	16
CARD9	16
CARF	1
CARHSP1	6
CARM1	15
CARMIL1	12
CARMIL2	12
CARMIL3	12
CARNMT1	15
CARNS1	1
CARS1	7
CARS2	7
CARTPT	16
CASC1	56
CASC3	6
GOLM2	1
CASD1	21
CASK	7
CASKIN1	7
CASKIN2	7
CASP1	4
CASP10	4
CASP14	4
CASP2	4
CASP3	4
CASP4	4
CASP5	4
CASP6	4
CASP7	4
CASP8	4
CASP8AP2	1
CASP9	4
CASQ1	4
CASQ2	4
CASR	46
CASS4	43
CAST	16
CASTOR1	1
CASTOR2	1
CASTOR3	1
CASZ1	6
CAT	59
CATIP	58
CATSPER1	24
CATSPER2	8
CATSPER3	24
CATSPER4	24
CATSPERB	1
CATSPERD	9
CATSPERE	1
CATSPERG	1
CATSPERZ	9
CAV1	4
CAV2	4
CAV3	4
CAVIN1	16
CAVIN2	16
CAVIN3	16
CAVIN4	16
CBARP	16
CBFA2T2	4
CBFA2T3	4
CBFB	4
CBL	10
CBLB	10
CBLC	10
CBLIF	1
CBLL1	48
CBLL2	48
CBLN1	1
CBLN2	1
CBLN3	1
CBLN4	1
CBR1	7
CBR3	7
CBR4	3
CBS	3
CBSL	3
CBWD1	52
CBWD2	52
CBWD3	52
CBWD5	52
CBWD6	52
CBX1	35
CBX2	35
CBX3	35
CBX4	35
CBX5	35
CBX6	35
CBX7	35
CBX8	35
CBY1	10
CBY2	9
CBY3	1
CC2D1A	44
CC2D1B	44
CC2D2A	56
CC2D2B	56
CCAR1	48
CCAR2	48
CCBE1	19
CCDC102A	10
CCDC102B	4
CCDC103	58
CCDC105	1
CCDC106	16
CCDC107	16
CCDC110	9
CCDC112	58
CCDC113	56
CCDC114	56
CCDC115	4
CCDC116	9
CCDC117	16
CCDC12	16
CCDC120	1
CCDC121	9
CCDC122	16
CCDC124	49
CCDC125	1
CCDC126	1
CCDC127	16
CCDC13	56
CCDC130	26
CCDC134	4
CCDC136	1
CCDC137	1
CCDC138	1
CCDC14	1
CCDC141	6
CCDC142	4
CCDC144A	1
CCDC146	56
CCDC148	58
CCDC149	4
CCDC15	1
CCDC150	1
CCDC151	56
CCDC152	16
CCDC153	1
CCDC154	1
KASH5	16
CCDC157	1
CCDC158	1
CCDC159	9
CCDC160	16
CCDC163	9
CCDC166	1
CCDC167	16
CCDC168	9
CCDC169	1
CCDC169-SOHLH2	16
CCDC17	1
CCDC170	4
CCDC171	1
CCDC172	16
CCDC173	1
CCDC174	32
CCDC175	1
CCDC177	1
CCDC178	1
CCDC179	9
CCDC18	1
CCDC180	58
CCDC181	1
CCDC182	9
CCDC183	1
CCDC184	9
CCDC185	16
CCDC186	10
CCDC187	9
CCDC188	9
CCDC189	1
CCDC190	9
CCDC191	4
CCDC192	9
CCDC194	9
CCDC196	9
CCDC197	16
CCDC198	16
CCDC200	9
CCDC22	12
CCDC24	1
CCDC25	3
CCDC27	1
CCDC28A	4
CCDC28B	4
CCDC3	16
CCDC30	1
CCDC32	16
CCDC33	1
CCDC34	1
IHO1	16
CCDC38	56
CCDC39	56
CCDC40	56
CCDC42	56
CCDC43	4
CCDC47	49
CCDC50	1
CCDC51	1
CCDC54	9
CCDC57	1
CCDC58	38
CCDC59	16
CCDC6	31
CCDC60	1
CCDC61	58
CCDC62	1
CCDC63	56
CCDC65	56
CCDC66	1
CCDC68	16
CCDC69	1
CCDC7	9
CCDC70	9
CCDC71	16
CCDC71L	16
CCDC73	1
CCDC74A	16
CCDC74B	16
CCDC77	58
CCDC78	1
CCDC8	9
CCDC80	16
CCDC81	1
CCDC82	16
CCDC83	1
CCDC84	48
CCDC85A	4
CCDC85B	4
CCDC85C	4
CCDC86	13
CCDC87	1
CCDC88A	13
CCDC88B	10
CCDC88C	4
CCDC89	1
CCDC9	1
CCDC90B	39
CCDC91	1
CCDC92	1
CCDC92B	1
CCDC93	12
CCDC96	56
CCDC97	55
CCDC9B	16
CCER1	9
CCER2	9
CCHCR1	1
CCIN	55
CCK	16
CCKAR	4
CCKBR	4
CCL1	9
CCL11	16
CCL13	16
CCL14	16
CCL15	16
CCL16	16
CCL17	16
CCL18	16
CCL19	16
CCL2	16
CCL20	16
CCL21	16
CCL22	16
CCL23	16
CCL24	16
CCL25	16
CCL26	16
CCL27	16
CCL28	16
CCL3	16
CCL3L1	16
CCL3L3	16
CCL4	16
CCL4L1	16
CCL4L2	16
CCL5	16
CCL7	16
CCL8	16
CCM2	1
CCM2L	1
CCN1	6
CCN2	6
CCN3	6
CCN4	6
CCN5	1
CCN6	16
CCNA1	3
CCNA2	3
CCNB1	3
CCNB1IP1	42
CCNB2	3
CCNB3	3
CCNC	26
CCND1	3
CCND2	3
CCND3	3
CCNDBP1	1
CCNE1	3
CCNE2	3
CCNF	3
CCNG1	29
CCNG2	45
CCNH	26
CCNI	45
CCNI2	28
CCNJ	3
CCNJL	55
CCNK	15
CCNL1	15
CCNL2	49
CCNO	3
CCNQ	29
CCNT1	26
CCNT2	26
CCNY	55
CCNYL1	55
CCP110	4
CCPG1	16
CCR1	4
CCR10	4
CCR2	4
CCR3	4
CCR4	4
CCR5	4
CCR6	4
CCR7	4
CCR8	4
CCR9	4
CCRL2	4
CCS	45
CCSAP	1
CCSER1	16
CCSER2	16
CCT2	7
CCT3	7
CCT4	7
CCT5	7
CCT6A	7
CCT6B	7
CCT7	7
CCT8	7
CCT8L2	7
CCZ1	46
CCZ1B	46
CD101	16
CD109	10
CD14	16
CD151	10
CD160	9
CD163	18
CD163L1	18
CD164	16
CD164L2	16
CD177	9
CD180	55
CD19	16
CD1A	16
CD1B	16
CD1C	16
CD1D	16
CD1E	16
CD2	16
CD200	16
CD200R1	16
CD200R1L	16
CD207	17
CD209	17
CD22	4
CD226	16
CD24	30
CD244	16
CD247	16
CD248	19
CD27	16
CD274	6
CD276	6
CD28	16
CD2AP	20
CD2BP2	45
CD300A	16
CD300C	16
CD300E	16
CD300H	16
CD300LB	16
CD300LD	16
CD300LF	16
CD300LG	16
CD302	1
CD320	4
CD33	16
CD34	16
CD36	31
CD37	10
CD38	1
CD3D	16
CD3E	16
POLR1G	16
CD3G	16
CD4	16
CD40	1
CD40LG	16
CD44	16
CD46	10
CD47	9
CD48	16
CD5	1
CD52	30
CD53	38
CD55	10
CD58	16
CD59	9
CD5L	18
CD6	18
CD63	10
CD68	1
CD69	1
CD7	16
CD70	9
CD72	16
CD74	4
CD79A	16
CD79B	16
CD80	16
CD81	10
CD82	10
CD83	9
CD84	16
CD86	6
CD8A	16
CD8B	16
CD8B2	16
CD9	10
CD93	19
CD96	16
CD99	16
CD99L2	16
CDA	37
CDADC1	21
CDAN1	4
CDC123	7
CDC14A	7
CDC14B	7
CDC14C	7
CDC16	3
CDC20	7
CDC20B	3
CDC23	3
CDC25A	20
CDC25B	20
CDC25C	20
CDC26	1
CDC27	3
CDC34	7
CDC37	17
CDC37L1	10
CDC40	7
CDC42	7
CDC42BPA	7
CDC42BPB	7
CDC42BPG	7
CDC42EP1	16
CDC42EP2	16
CDC42EP3	16
CDC42EP4	16
CDC42EP5	16
CDC42SE1	6
CDC45	3
CDC5L	7
CDC6	7
CDC7	7
CDC73	2
CDCA2	16
CDCA3	16
CDCA4	16
CDCA5	16
CDCA7	48
CDCA7L	48
CDCA8	1
CDCP1	16
CDCP2	10
CDH1	13
CDH10	13
CDH11	13
CDH12	13
CDH13	10
CDH15	13
CDH16	13
CDH17	13
CDH18	13
CDH19	13
CDH2	13
CDH20	13
CDH22	13
CDH23	13
CDH24	13
CDH26	10
CDH3	13
CDH4	13
CDH5	13
CDH6	13
CDH7	13
CDH8	13
CDH9	13
CDHR1	13
CDHR2	13
CDHR3	13
CDHR4	10
CDHR5	10
CDIP1	35
CDIPT	7
CDK1	7
CDK10	7
CDK11A	7
CDK11B	7
CDK12	7
CDK13	7
CDK14	7
CDK15	7
CDK16	7
CDK17	7
CDK18	7
CDK19	7
CDK2	7
CDK20	7
CDK2AP1	6
CDK2AP2	6
CDK3	7
CDK4	7
CDK5	7
CDK5R1	6
CDK5R2	6
CDK5RAP1	8
CDK5RAP2	6
CDK5RAP3	14
CDK6	7
CDK7	7
CDK8	7
CDK9	7
CDKAL1	8
CDKL1	7
CDKL2	7
CDKL3	7
CDKL4	7
CDKL5	7
CDKN1A	16
CDKN1B	16
CDKN1C	6
CDKN2A	28
CDKN2AIP	16
CDKN2AIPNL	16
CDKN2B	14
CDKN2C	7
CDKN2D	7
CDKN3	58
CDNF	17
CDO1	44
CDON	31
CDPF1	6
CDR1	9
CDR2	6
CDR2L	6
CDRT1	7
CDRT15	30
CDRT15L2	30
CDRT4	9
CDS1	7
CDS2	7
CDSN	9
CDT1	48
CDV3	16
CDX1	4
CDX2	4
CDX4	32
CDY1	3
CDY1B	3
CDY2A	3
CDY2B	3
CDYL	3
CDYL2	7
CEACAM1	4
CEACAM16	4
CEACAM18	16
CEACAM19	16
CEACAM20	4
CEACAM21	16
CEACAM3	16
CEACAM4	16
CEACAM5	4
CEACAM6	4
CEACAM7	16
CEACAM8	4
CEBPA	10
CEBPB	10
CEBPD	4
CEBPE	4
CEBPG	4
CEBPZ	7
CEBPZOS	16
CECR2	7
CEL	26
CELA1	22
CELA2A	22
CELA2B	22
CELA3A	22
CELA3B	22
CELF1	7
CELF2	7
CELF3	7
CELF4	7
CELF5	7
CELF6	7
CELSR1	35
CELSR2	13
CELSR3	24
CEMIP	17
CEMIP2	17
CEMP1	30
CEND1	9
CENPA	7
CENPB	13
CENPBD1	9
CENPC	1
CENPE	7
CENPF	1
CENPH	16
CENPI	1
CENPJ	56
CENPK	1
CENPL	1
CENPM	1
CENPN	1
CENPO	16
CENPP	16
CENPQ	16
CENPS	42
CENPS-CORT	42
CENPT	1
CENPU	16
CENPV	42
CENPVL1	42
CENPVL2	42
CENPVL3	42
CENPW	9
CENPX	9
CEP104	56
CEP112	1
CEP120	56
CEP126	1
CEP128	1
CEP131	56
CEP135	56
CEP152	4
CEP162	4
CEP164	56
CEP170	48
CEP170B	48
CEP19	1
CEP192	1
CEP250	4
CEP290	58
CEP295	1
CEP295NL	16
CEP350	3
CEP41	58
CEP44	58
CEP55	1
CEP57	1
CEP57L1	1
CEP63	1
CEP68	16
CEP70	1
CEP72	8
CEP76	56
CEP78	12
CEP83	1
CEP85	1
CEP85L	1
CEP89	1
CEP95	1
CEP97	7
CEPT1	7
CER1	4
CERCAM	17
CERK	2
CERKL	45
CERS2	7
CERS3	7
CERS4	7
CERS5	3
CERS6	7
CERT1	25
CES1	11
CES2	11
CES3	11
CES4A	11
CES5A	11
CETN1	7
CETN2	7
CETN3	7
CETP	1
CFAP100	56
CFAP126	6
CFAP157	4
CFAP161	56
CFAP20	8
CFAP206	56
CFAP221	58
CFAP298	56
CFAP298-TCP10L	56
CFAP299	56
CFAP300	56
CFAP36	58
CFAP410	8
CFAP43	56
CFAP44	7
CFAP45	56
CFAP46	58
CFAP47	56
CFAP52	7
CFAP53	58
CFAP54	56
CFAP57	7
CFAP58	56
CFAP61	56
CFAP65	56
CFAP69	58
CFAP70	8
CFAP73	56
CFAP74	56
CFAP77	1
CFAP97	1
CFAP97D1	1
CFAP97D2	58
CFAP99	56
CFB	17
CFC1	1
CFC1B	1
CFD	22
CFDP1	45
CFH	10
CFHR1	6
CFHR2	4
CFHR3	6
CFHR4	10
CFHR5	10
CFI	22
CFL1	7
CFL2	7
CFLAR	4
CFP	19
CFTR	7
CGA	16
CGAS	6
CGB1	16
CGB2	16
CGB3	16
CGB5	16
CGB7	16
CGB8	16
CGGBP1	9
CGN	10
CGNL1	10
CGREF1	1
CGRRF1	35
CH25H	57
CH507-42P11.6	30
CHAC1	2
CHAC2	2
CHAD	7
CHADL	3
CHAF1A	51
CHAF1B	7
CHAMP1	6
CHAT	20
CHCHD1	4
CHCHD10	43
CHCHD2	43
CHCHD3	6
CHCHD4	39
CHCHD5	1
CHCHD6	1
CHCHD7	6
CHD1	7
CHD1L	7
CHD2	7
CHD3	7
CHD4	7
CHD5	7
CHD6	7
CHD7	7
CHD8	7
CHD9	7
CHDH	14
CHEK1	7
CHEK2	7
CHERP	49
CHFR	8
CHGA	16
CHGB	16
CHI3L1	39
CHI3L2	39
CHIA	39
CHIC1	10
CHIC2	10
CHID1	14
CHIT1	39
CHKA	7
CHKB	7
CHL1	4
CHM	7
CHML	7
CHMP1A	49
CHMP1B	15
CHMP2A	7
CHMP2B	3
CHMP3	7
CHMP4A	15
CHMP4B	15
CHMP4C	15
CHMP5	3
CHMP6	45
CHMP7	5
CHN1	57
CHN2	57
CHODL	1
CHORDC1	8
CHP1	7
CHP2	7
CHPF	6
CHPF2	6
CHPT1	7
CHRAC1	26
CHRD	4
CHRDL1	4
CHRDL2	4
CHRFAM7A	17
CHRM1	4
CHRM2	4
CHRM3	4
CHRM4	4
CHRM5	4
CHRNA1	17
CHRNA10	17
CHRNA2	17
CHRNA3	17
CHRNA4	17
CHRNA5	17
CHRNA6	17
CHRNA7	17
CHRNA9	17
CHRNB1	17
CHRNB2	17
CHRNB3	17
CHRNB4	17
CHRND	17
CHRNE	17
CHRNG	17
CHST1	6
CHST10	6
CHST11	6
CHST12	6
CHST13	6
CHST14	6
CHST15	17
CHST2	6
CHST3	6
CHST4	6
CHST5	6
CHST6	6
CHST7	6
CHST8	6
CHST9	6
CHSY1	17
CHSY3	17
CHTF18	7
CHTF8	30
CHTOP	1
CHUK	7
CHURC1	1
CHURC1-FNTB	7
CIAO1	7
CIAO2A	7
CIAO2B	7
CIAO3	7
CIAPIN1	7
CIART	16
CIB1	7
CIB2	3
CIB3	7
CIB4	53
CIC	34
CIDEA	6
CIDEB	6
CIDEC	6
CIITA	8
CILK1	7
CILP	6
CILP2	4
CINP	1
CIP2A	58
CIPC	16
CIR1	55
CIRBP	7
CISD1	21
CISD2	21
CISD3	35
CISH	4
CIT	7
CITED1	16
CITED2	16
CITED4	16
CIZ1	6
CKAP2	1
CKAP2L	16
CKAP4	16
CKAP5	3
CKB	13
CKLF	9
CKLF-CMTM1	9
CKM	13
CKMT1A	13
CKMT1B	13
CKMT2	13
CKS1B	3
CKS2	3
CLASP1	5
CLASP2	5
CLASRP	32
CLBA1	16
CLC	16
CLCA1	1
CLCA2	1
CLCA4	1
CLCC1	1
CLCF1	16
CLCN1	3
CLCN2	3
CLCN3	3
CLCN4	3
CLCN5	3
CLCN6	3
CLCN7	3
CLCNKA	3
CLCNKB	3
CLDN1	16
CLDN10	16
CLDN11	16
CLDN12	16
CLDN14	16
CLDN15	16
CLDN16	16
CLDN17	16
CLDN18	16
CLDN19	16
CLDN2	16
CLDN20	16
CLDN22	16
CLDN23	16
CLDN24	16
CLDN25	16
CLDN3	16
CLDN34	16
CLDN4	16
CLDN5	16
CLDN6	16
CLDN7	16
CLDN8	16
CLDN9	16
CLDND1	16
CLDND2	9
CLEC10A	17
CLEC11A	16
CLEC12A	1
CLEC12B	1
CLEC14A	16
CLEC16A	8
CLEC17A	17
CLEC18A	59
CLEC18B	59
CLEC18C	59
CLEC19A	17
CLEC1A	1
CLEC1B	1
CLEC2A	1
CLEC2B	16
CLEC2D	6
CLEC2L	1
CLEC3A	6
CLEC3B	6
CLEC4A	4
CLEC4C	4
CLEC4D	10
CLEC4E	17
CLEC4F	13
CLEC4G	4
CLEC4M	17
CLEC4O	9
CLEC5A	1
CLEC6A	4
CLEC7A	1
CLEC9A	4
CLECL1	30
CLGN	3
CLHC1	45
CLIC1	28
CLIC2	28
CLIC3	28
CLIC4	28
CLIC5	28
CLIC6	32
CLINT1	3
CLIP1	3
CLIP2	3
CLIP3	3
CLIP4	3
CLK1	7
CLK2	7
CLK3	7
CLK4	7
CLMN	57
CLMP	4
CLN3	36
CLN5	16
CLN6	16
CLN8	16
CLNK	6
CLNS1A	32
CLOCK	10
CLP1	7
CLPB	7
CLPP	49
CLPS	16
CLPSL1	30
CLPSL2	9
CLPTM1	41
CLPTM1L	41
CLPX	3
CLRN1	16
CLRN2	1
CLRN3	1
CLSPN	6
CLSTN1	10
CLSTN2	10
CLSTN3	10
CLTA	38
CLTB	38
CLTC	15
CLTCL1	15
CLTRN	16
CLU	16
CLUAP1	56
CLUH	2
CLUL1	16
CLVS1	26
CLVS2	26
CLYBL	34
CMA1	22
CMAS	6
CMBL	52
CMC1	4
CMC2	16
CMC4	6
CMIP	48
CMKLR1	4
CMPK1	7
CMPK2	16
CMSS1	42
CMTM1	9
CMTM2	9
CMTM3	16
CMTM4	1
CMTM5	16
CMTM6	16
CMTM7	16
CMTM8	16
CMTR1	7
CMTR2	49
CMYA5	4
CNBD1	1
CNBD2	31
CNBP	37
CNDP1	36
CNDP2	36
CNEP1R1	4
CNFN	1
CNGA1	14
CNGA2	14
CNGA3	14
CNGA4	14
CNGB1	14
CNGB3	14
CNIH1	45
CNIH2	25
CNIH3	43
CNIH4	45
CNKSR1	38
CNKSR2	44
CNKSR3	4
CNMD	16
CNN1	44
CNN2	44
CNN3	44
CNNM1	2
CNNM2	2
CNNM3	2
CNNM4	2
CNOT1	7
CNOT10	55
CNOT11	23
CNOT2	7
CNOT3	7
CNOT4	7
CNOT6	7
CNOT6L	7
CNOT7	7
CNOT8	7
CNOT9	15
CNP	4
CNPPD1	32
CNPY1	1
CNPY2	6
CNPY3	10
CNPY3-GNMT	4
CNPY4	10
CNR1	4
CNR2	4
CNRIP1	16
CNST	1
CNTD1	4
CCNP	3
CNTF	16
CNTFR	16
CNTLN	1
CNTN1	4
CNTN2	4
CNTN3	4
CNTN4	4
CNTN5	6
CNTN6	4
CNTNAP1	10
CNTNAP2	10
CNTNAP3	10
CNTNAP3B	10
CNTNAP3C	10
CNTNAP4	10
CNTNAP5	10
CNTRL	7
CNTROB	4
COA1	16
COA3	6
COA4	16
COA5	32
COA6	6
COA7	46
COA8	10
COASY	3
COBL	1
COBLL1	1
COCH	18
COG1	46
COG2	8
COG3	3
COG4	7
COG6	45
COG7	46
COG8	3
COIL	4
COL10A1	18
COL11A1	18
COL11A2	18
COL12A1	18
COL13A1	18
COL14A1	18
COL15A1	18
COL16A1	18
COL17A1	18
COL18A1	18
COL19A1	18
COL1A1	18
COL1A2	18
COL20A1	18
COL21A1	18
COL22A1	18
COL23A1	18
COL24A1	18
COL25A1	18
COL26A1	18
COL27A1	18
COL28A1	18
COL2A1	18
COL4A1	18
COL4A2	18
COL4A2-AS2	30
COL4A3	18
COL4A4	18
COL4A5	18
COL4A6	18
COL5A1	18
COL5A2	18
COL5A3	18
COL6A1	18
COL6A2	18
COL6A3	28
COL6A5	18
COL6A6	18
COL7A1	18
COL8A1	18
COL8A2	18
COL9A1	18
COL9A2	18
COL9A3	18
COLCA1	30
COLCA2	16
COLEC10	10
COLEC11	17
COLEC12	18
COLGALT1	17
COLGALT2	17
COLQ	10
COMMD1	1
COMMD10	10
COMMD2	13
COMMD3	42
COMMD3-BMI1	55
COMMD4	12
COMMD5	17
COMMD6	1
COMMD7	1
COMMD8	1
COMMD9	1
COMP	19
COMT	42
COMTD1	42
COP1	7
COPA	7
COPB1	7
COPB2	7
COPE	29
COPG1	7
COPG2	7
COPRS	9
COPS2	7
COPS3	29
COPS4	29
COPS5	7
COPS6	7
COPS7A	29
COPS7B	5
COPS8	46
COPS9	16
COPZ1	15
COPZ2	15
COQ10A	45
COQ10B	45
COQ2	2
COQ3	2
COQ4	2
