Gene_name,Protein_interaction_score,Genetic_interaction_score,Single_cell_score,Cluster_score,Motif_score,Publication_score,Protein_atlas_score,Total_score,Norm_total_score,Weighted_total_scores,Seq
TMEM231,0.0978719383984198,0.0458715596330275,0.589449541284404,0.239678899082569,0.127448513024785,0.693921073481283,0.321100917431193,17.2328513727482,4.39836761070673,2.11534244233568,29
DNALI1,0.075634332272589,0,0.355626078946405,0.479357798165138,0,0.881913279375576,0.321100917431193,20.8194504561239,3.61251643757802,2.1136324061909,30
PACRG,0.0779295194179285,0,0.236085180735448,0.479357798165138,0.0680313600832766,0.909611190588841,0.321100917431193,21.7644395731667,3.73792605521959,2.09211596642182,31
MNS1,0.0813985600279476,0,0.355626078946405,0.479357798165138,0,0.847438219673958,0.321100917431193,20.7538267299221,3.58411887388399,2.08492157424464,32
CCDC151,0.123212888809428,0,0.355626078946405,0.479357798165138,0.0656983039880169,0.73576259893111,0.321100917431193,22.077256263896,3.80790614783716,2.08075858627129,33
ROPN1L,0.144355928900986,0,0.355626078946405,0.479357798165138,0,0.778488100270722,0.321100917431193,22.4313074610995,3.59250690412956,2.07892882371444,34
TTC21B,0.377100215028655,0,0.469908643073447,0.479357798165138,0,0.739003843860322,0,29.4041838338385,3.04048584395842,2.06537050012756,35
SPEF1,0.00777733177431609,0,0.355626078946405,0.479357798165138,0.0680313600832766,0.807364646003701,0.321100917431193,18.6004303346999,3.74592360413236,2.03925813240403,36
B9D2,0.162118725623525,0.0458715596330275,0.236085180735448,0.479357798165138,0.0680313600832766,0.719851032914979,0.321100917431193,23.7482660283236,4.14810977094155,2.03241657458659,37
CFAP91,0.192266266054272,0,0.229756197010276,0.479357798165138,0.0680313600832766,0.731342719482185,0.321100917431193,24.3927433031167,3.68748404617847,2.02185525822634,38
CFAP45,-0.0409934661279005,0,0.355626078946405,0.479357798165138,0.127448513024785,0.759335289325379,0.321100917431193,17.7820478978304,3.89342762371033,2.001875130765,39
NPHP4,0.29167343881856,0.0917431192660551,0,0.479357798165138,0,0.786443883278788,0.321100917431193,28.3795630537193,4.18414357513579,1.97031915695973,40
HYDIN,-0.0497448802450927,0,0.355626078946405,0.479357798165138,0.195479873108061,0.663865893228591,0.321100917431193,17.6107532932779,4.08008152655998,1.96568568063429,41
SPATA17,-0.0238831031592422,0,0.355626078946405,0.479357798165138,0.127448513024785,0.693331756221427,0.321100917431193,17.6122487208206,3.84675881105505,1.9529819606297,42
CCDC39,0,0,0.355626078946405,0.479357798165138,0.0656983039880169,0.730164084962471,0.321100917431193,17.7003449489113,3.64594298884849,1.95194718349322,43
MKS1,0.0848232187741002,0.0458715596330275,0.589449541284404,0.479357798165138,0,0.752263482207098,0,19.8272429616483,3.38657471731652,1.95176560006377,44
IQCG,0.036414323574407,0,0.355626078946405,0.479357798165138,0.127448513024785,0.625854929967833,0.321100917431193,18.8478040017958,3.85330130506642,1.94580256110976,45
