Gene_name_A	Gene_name_B	type
DBT	AKIRIN1	Wormbase
DCAF1	AKIRIN1	Wormbase
DECR1	AKIRIN1	Wormbase
DIS3	AKIRIN1	Wormbase
DLST	AKIRIN1	Wormbase
DNAJA2	AKIRIN1	Wormbase
DNAJC13	AKIRIN1	Wormbase
DNM1L	AKIRIN1	Wormbase
DUSP11	AKIRIN1	Wormbase
EIF1B	AKIRIN1	Wormbase
EIF4E	AKIRIN1	Wormbase
FAXC	AKIRIN1	Wormbase
GATAD2A	AKIRIN1	Wormbase
GNAQ	AKIRIN1	Wormbase
GPD1	AKIRIN1	Wormbase
GSK3B	AKIRIN1	Wormbase
HACE1	AKIRIN1	Wormbase
HDAC1	AKIRIN1	Wormbase
HECTD1	AKIRIN1	Wormbase
HIC2	AKIRIN1	Wormbase
HM13	AKIRIN1	Wormbase
HNF4A	AKIRIN1	Wormbase
HNF4G	AKIRIN1	Wormbase
HSD17B12	AKIRIN1	Wormbase
HSPA8	AKIRIN1	Wormbase
IDH3G	AKIRIN1	Wormbase
IVD	AKIRIN1	Wormbase
KPNA2	AKIRIN1	Wormbase
KPNA4	AKIRIN1	Wormbase
LRRC59	AKIRIN1	Wormbase
LUC7L	AKIRIN1	Wormbase
MAGT1	AKIRIN1	Wormbase
MAPK14	AKIRIN1	Wormbase
MLF2	AKIRIN1	Wormbase
MT-ND1	AKIRIN1	Wormbase
MTA3	AKIRIN1	Wormbase
MTR	AKIRIN1	Wormbase
NCLN	AKIRIN1	Wormbase
NDUFA6	AKIRIN1	Wormbase
NDUFA8	AKIRIN1	Wormbase
NDUFA9	AKIRIN1	Wormbase
NDUFB10	AKIRIN1	Wormbase
NDUFB5	AKIRIN1	Wormbase
NDUFB8	AKIRIN1	Wormbase
NDUFB9	AKIRIN1	Wormbase
NDUFS3	AKIRIN1	Wormbase
NUP93	AKIRIN1	Wormbase
NUP98	AKIRIN1	Wormbase
OGT	AKIRIN1	Wormbase
P4HTM	AKIRIN1	Wormbase
PGLS	AKIRIN1	Wormbase
PLBD2	AKIRIN1	Wormbase
POLR2A	AKIRIN1	Wormbase
POLR2B	AKIRIN1	Wormbase
POU2F3	AKIRIN1	Wormbase
PPIL2	AKIRIN1	Wormbase
PPM1G	AKIRIN1	Wormbase
PPP4R1	AKIRIN1	Wormbase
PRDX3	AKIRIN1	Wormbase
PRPF8	AKIRIN1	Wormbase
PSMA1	AKIRIN1	Wormbase
PSMD2	AKIRIN1	Wormbase
PSMD4	AKIRIN1	Wormbase
PSMD6	AKIRIN1	Wormbase
PSMD7	AKIRIN1	Wormbase
RAD21L1	AKIRIN1	Wormbase
RARS1	AKIRIN1	Wormbase
RBBP4	AKIRIN1	Wormbase
REXO5	AKIRIN1	Wormbase
RFC2	AKIRIN1	Wormbase
RFC5	AKIRIN1	Wormbase
RHOA	AKIRIN1	Wormbase
RIMS2	AKIRIN1	Wormbase
RNF225	AKIRIN1	Wormbase
RNF8	AKIRIN1	Wormbase
RPS6KA5	AKIRIN1	Wormbase
RRAGA	AKIRIN1	Wormbase
RRAGD	AKIRIN1	Wormbase
RRP12	AKIRIN1	Wormbase
SATB1	AKIRIN1	Wormbase
SEC14L3	AKIRIN1	Wormbase
SEC61B	AKIRIN1	Wormbase
