Gene_name	Gene_synonyms
ADRA1A	ALPHA1AAR
ADRA2A	ADRA2
ADRA2A	ADRA2R
ADRA2A	ADRAR
ADRA2A	ALPHA2AAR
ADRA2A	ZNF32
ADRA2B	ADRA2L1
ADRA2B	ADRA2RL1
ADRA2B	ADRARL1
ADRA2B	ALPHA2BAR
ADRA2B	FAME2
ADRA2B	alpha-2BAR
ADRA2C	ADRA2L2
ADRA2C	ADRA2RL2
ADRA2C	ADRARL2
ADRA2C	ALPHA2CAR
ADRB1	ADRB1R
ADRB1	B1AR
ADRB1	BETA1AR
ADRB1	FNSS2
ADRB1	RHR
ADRB2	ADRB2R
ADRB2	ADRBR
ADRB2	B2AR
ADRB2	BAR
ADRB2	BETA2AR
ADRB3	BETA3AR
GRK2	ADRBK1
GRK2	BARK1
GRK2	BETA-ARK1
GRK3	ADRBK2
GRK3	BARK2
ADSL	AMPS
ADSL	ASASE
ADSL	ASL
ADSS2	ADEH
ADSS2	ADSS
ADSS2	ADSS 2
AP2A1	ADTAA
AP2A1	AP2-ALPHA
AP2A1	CLAPA1
AP2A2	ADTAB
AP2A2	CLAPA2
AP2A2	HIP-9
AP2A2	HIP9
AP2A2	HYPJ
AP1B1	ADTB1
AP1B1	AP105A
AP1B1	BAM22
AP1B1	CLAPB2
AP1B1	KIDAR
AP2B1	ADTB2
AP2B1	AP105B
AP2B1	AP2-BETA
AP2B1	CLAPB1
AP1G1	ADTG
AP1G1	CLAPG1
AEBP1	ACLP
TLE5	AES
TLE5	AES-1
TLE5	AES-2
TLE5	ESP1
TLE5	GRG
TLE5	GRG5
TLE5	Grg-5
CRISP1	AEGL1
CRISP1	ARP
CRISP1	CRISP-1
CRISP1	HEL-S-57
CRISP1	HSCRISP1D
CRISP1	HSCRISP1G
CRISP1	HUMARP
AF8T	-
AFA	-
AFD1	AFDN
AFG3L1P	AFG3
AFG3L1P	AFG3L1
AFM	ALB2
AFM	ALBA
AFM	ALF
AFP	AFPD
AFP	FETA
